agv39,azc81,bdb223,bsj154,bwr202,drs203,eno150,hgo132,jem139,mbd135,nby169,nfb200,npo218,ofz208,qmj73,rgm35,rva241,wdb83,yfm28
0.899397597,0.548211414,0.120230802,0.055536554,0.110432028,0.960696456,0.759469152,0.874049951,0.807593124,0.663829611,0.428409458,0.912917304,0.940542823,0.744946593,0.261574376,0.783733933,0.93404356,0,0.737641837
0.167942434,0.111383239,0.353474392,0.051218444,0.003683366,0.939109113,0.872921363,0.900341791,0.886980533,0.680816588,0.722385866,0.793600804,0.848212763,0.779070791,0.243230749,0.338944523,0.912717938,0,0.926539669
0.001374313,0.459970845,0.594186283,1,0.946644679,0.399634923,0.359502408,0.342766233,0.335694605,0.544553591,0.689002063,0.364603982,0.946927435,0.886632176,0.815887225,0.555461572,0.405911589,0.700434555,0.396066026
0.551353455,0.099304736,0.378250685,0.591589331,0.619086902,0.9016288,0.984771983,0.802374529,1,0.270841011,0.298177967,0.434798507,0.395560571,0.077296155,0.248130933,0.274455724,0.885200876,0.47631067,0.932371056
0.578481641,0.460036888,0.387289953,0.829306421,0.955035415,0.46448597,0.745252729,0.637081885,0.81648965,0.955152026,0.086996413,0.751228143,0.104130054,0.473013324,0.64581626,0.123010986,0.467098877,1,0.888155644
0.321250855,0.181681997,0.888744741,0.129776158,0.139275742,0.29498985,0.440840182,0.088990254,0.465429056,0.272106282,0.841696049,0.191740108,0.461481813,0.197748386,0.947940393,0.185230443,0.229339658,0,0.147729343
0.271797936,0.896840184,0.468196314,0.291659264,0.385016845,0.096595031,0.658949736,0.228485584,0.621132807,0.700439021,0.04126248,0.635932018,0.982001775,0.291811078,0.837364423,0.768681435,0.089794447,0.353755752,0.569899173
0.593883693,0.358539501,0.867141154,0,0.032033021,0.756234707,0.388143822,0.801103294,0.274159235,0.746583433,0.789443042,0.072182414,0.334215405,0.952504812,0.89935167,0.976937971,0.706025836,0.236547355,0.880715801
0.586904269,0.121548933,0.513727286,0.087141174,0.214707996,0.358871772,0.388562425,0.233142771,0.340594565,0.577926665,0.624491255,0.595243267,0.183535302,0.643658639,0.368292401,0.355461692,0.2893401,0.045115295,0.824466199
0.40029253,0.910925449,0.789832374,0.402407988,0.366415265,0.275772614,0.041549441,0.378417042,0,0.88015629,0.121446307,0.515111414,0.183143141,0.505935758,0.461775761,0.054027964,0.309451775,0.362718415,0.420136001
0.025709496,0.123674744,0.094025143,0.759283143,0.723205379,0.815838535,0.935503431,0.96211872,0.742001566,0.627261653,0.717892402,0.312243055,0.84843681,0.952181859,0.028895453,0.853436303,0.877732143,0.754111492,0.217630546
0.079535932,0.761949202,0.851298324,0.266405277,0.179273331,0.447973173,0.293936716,0.433081066,0.235790516,0.274868214,0.336253162,0.783385923,0.199356438,0.315891432,0.291116014,0.733659454,0.332695447,0.172747473,0.584703823
0.473477446,0.597657338,0.159719579,0.819975499,0.893402529,0.275534126,0.032071771,0.283023657,0.060311513,0.377160855,0.241174034,0.181373957,0.162677174,0.355554187,0.967973662,0.314898356,0.230808796,0.962508384,0.242453219
0.060270205,0.498667886,0.749857599,0.62289221,0.552312342,0.680314336,0.042876892,0.560379299,0.223695427,0.998590344,0.790899351,0.143837005,0.19290518,0.746177472,0.759170259,0.454424685,0.465289379,0.834407567,0.593472332
0.703855119,0.631672492,0.861694343,0.110265124,0.070970722,0.17536273,0.231619136,0.015487219,0.316339134,0.696796855,0.723090006,0.013959276,0.477547951,0.307419048,0.593921916,0.844526143,0.088264012,0.105689813,0.76951126
0.975520529,0.444478215,0.145275502,0.170371809,0.164739382,0,0.844694409,0,0.862008918,0.776774566,0.001408359,0.044620008,0.608853042,0.14610643,0.77141438,0.159949723,0.073627601,0.074800812,0.022912107
0.541872499,0.133892269,0.432563086,0.341014273,0.269314446,0.193616222,0.259362153,0.326977292,0.125141131,0.17792089,0.891379622,0.698960602,0.365561974,0.966184424,0.028085164,0.657435269,0.248460398,0.195254612,0.626593166
0.606691783,0.68473511,0.400736816,0.284901763,0.259330484,1,0.25705941,0.826677477,0.347675393,0.664957896,0.136655936,0.38678471,0.453561968,0.903983291,0.804225424,0.81623563,0.910219555,0,0.895745241
